center,left,right,steering,throttle,brake,speed
IMG/center_2016_12_01_13_31_12_937.jpg, IMG/left_2016_12_01_13_31_12_937.jpg, IMG/right_2016_12_01_13_31_12_937.jpg,-0.02348577,0,0,1.453011
IMG/center_2016_12_01_13_31_13_037.jpg, IMG/left_2016_12_01_13_31_13_037.jpg, IMG/right_2016_12_01_13_31_13_037.jpg,-0.02348577,0,0,1.438419
IMG/center_2016_12_01_13_31_13_177.jpg, IMG/left_2016_12_01_13_31_13_177.jpg, IMG/right_2016_12_01_13_31_13_177.jpg,-0.02348577,0,0,1.418236
IMG/center_2016_12_01_13_31_13_279.jpg, IMG/left_2016_12_01_13_31_13_279.jpg, IMG/right_2016_12_01_13_31_13_279.jpg,-0.02348577,0,0,1.403993
IMG/center_2016_12_01_13_31_13_381.jpg, IMG/left_2016_12_01_13_31_13_381.jpg, IMG/right_2016_12_01_13_31_13_381.jpg,-0.02348577,0,0,1.389892
IMG/center_2016_12_01_13_31_13_482.jpg, IMG/left_2016_12_01_13_31_13_482.jpg, IMG/right_2016_12_01_13_31_13_482.jpg,-0.02348577,0,0,1.375934
IMG/center_2016_12_01_13_31_13_584.jpg, IMG/left_2016_12_01_13_31_13_584.jpg, IMG/right_2016_12_01_13_31_13_584.jpg,-0.02348577,0,0,1.362115
IMG/center_2016_12_01_13_31_13_686.jpg, IMG/left_2016_12_01_13_31_13_686.jpg, IMG/right_2016_12_01_13_31_13_686.jpg,-0.02348577,0,0,1.348435
IMG/center_2016_12_01_13_31_13_786.jpg, IMG/left_2016_12_01_13_31_13_786.jpg, IMG/right_2016_12_01_13_31_13_786.jpg,-0.02348577,0,0,1.334892
IMG/center_2016_12_01_13_31_13_890.jpg, IMG/left_2016_12_01_13_31_13_890.jpg, IMG/right_2016_12_01_13_31_13_890.jpg,-0.02348577,0,0,1.31882
IMG/center_2016_12_01_13_31_13_991.jpg, IMG/left_2016_12_01_13_31_13_991.jpg, IMG/right_2016_12_01_13_31_13_991.jpg,-0.02348577,0,0,1.305575
IMG/center_2016_12_01_13_31_14_092.jpg, IMG/left_2016_12_01_13_31_14_092.jpg, IMG/right_2016_12_01_13_31_14_092.jpg,-0.02348577,0,0,1.292579
IMG/center_2016_12_01_13_31_14_194.jpg, IMG/left_2016_12_01_13_31_14_194.jpg, IMG/right_2016_12_01_13_31_14_194.jpg,-0.02348577,0,0,1.279884
IMG/center_2016_12_01_13_31_14_295.jpg, IMG/left_2016_12_01_13_31_14_295.jpg, IMG/right_2016_12_01_13_31_14_295.jpg,-0.02348577,0,0,1.267316
IMG/center_2016_12_01_13_31_14_398.jpg, IMG/left_2016_12_01_13_31_14_398.jpg, IMG/right_2016_12_01_13_31_14_398.jpg,-0.02348577,0,0,1.254873
IMG/center_2016_12_01_13_31_14_500.jpg, IMG/left_2016_12_01_13_31_14_500.jpg, IMG/right_2016_12_01_13_31_14_500.jpg,-0.02348577,0,0,1.242555
IMG/center_2016_12_01_13_31_14_602.jpg, IMG/left_2016_12_01_13_31_14_602.jpg, IMG/right_2016_12_01_13_31_14_602.jpg,-0.02348577,0,0,1.230361
IMG/center_2016_12_01_13_31_14_702.jpg, IMG/left_2016_12_01_13_31_14_702.jpg, IMG/right_2016_12_01_13_31_14_702.jpg,-0.02348577,0,0,1.218291
IMG/center_2016_12_01_13_31_14_803.jpg, IMG/left_2016_12_01_13_31_14_803.jpg, IMG/right_2016_12_01_13_31_14_803.jpg,-0.02348577,0,0,1.206346
IMG/center_2016_12_01_13_31_14_904.jpg, IMG/left_2016_12_01_13_31_14_904.jpg, IMG/right_2016_12_01_13_31_14_904.jpg,-0.02348577,0,0,1.194345
IMG/center_2016_12_01_13_31_15_005.jpg, IMG/left_2016_12_01_13_31_15_005.jpg, IMG/right_2016_12_01_13_31_15_005.jpg,-0.02348577,0,0,1.182352
IMG/center_2016_12_01_13_31_15_106.jpg, IMG/left_2016_12_01_13_31_15_106.jpg, IMG/right_2016_12_01_13_31_15_106.jpg,-0.02348577,0,0,1.170474
IMG/center_2016_12_01_13_31_15_208.jpg, IMG/left_2016_12_01_13_31_15_208.jpg, IMG/right_2016_12_01_13_31_15_208.jpg,-0.02348577,0,0,1.156378
IMG/center_2016_12_01_13_31_15_308.jpg, IMG/left_2016_12_01_13_31_15_308.jpg, IMG/right_2016_12_01_13_31_15_308.jpg,-0.02348577,0,0,1.144761
IMG/center_2016_12_01_13_31_15_411.jpg, IMG/left_2016_12_01_13_31_15_411.jpg, IMG/right_2016_12_01_13_31_15_411.jpg,-0.02348577,0,0,1.13326
IMG/center_2016_12_01_13_31_15_513.jpg, IMG/left_2016_12_01_13_31_15_513.jpg, IMG/right_2016_12_01_13_31_15_513.jpg,-0.02348577,0,0,1.121875
IMG/center_2016_12_01_13_34_05_335.jpg, IMG/left_2016_12_01_13_34_05_335.jpg, IMG/right_2016_12_01_13_34_05_335.jpg,0.1096026,0.9855326,0,30.18618
IMG/center_2016_12_01_13_34_05_436.jpg, IMG/left_2016_12_01_13_34_05_436.jpg, IMG/right_2016_12_01_13_34_05_436.jpg,0.1287396,0.9855326,0,30.18564
IMG/center_2016_12_01_13_34_05_537.jpg, IMG/left_2016_12_01_13_34_05_537.jpg, IMG/right_2016_12_01_13_34_05_537.jpg,0.1287396,0.9855326,0,30.18603
IMG/center_2016_12_01_13_34_05_639.jpg, IMG/left_2016_12_01_13_34_05_639.jpg, IMG/right_2016_12_01_13_34_05_639.jpg,0.1765823,0.9855326,0,30.18388
IMG/center_2016_12_01_13_34_05_740.jpg, IMG/left_2016_12_01_13_34_05_740.jpg, IMG/right_2016_12_01_13_34_05_740.jpg,0.1765823,0.9855326,0,30.1691
IMG/center_2016_12_01_13_34_05_841.jpg, IMG/left_2016_12_01_13_34_05_841.jpg, IMG/right_2016_12_01_13_34_05_841.jpg,0.1765823,0.9855326,0,30.1769
IMG/center_2016_12_01_13_34_05_942.jpg, IMG/left_2016_12_01_13_34_05_942.jpg, IMG/right_2016_12_01_13_34_05_942.jpg,0.1765823,0.9855326,0,30.18079
IMG/center_2016_12_01_13_34_06_043.jpg, IMG/left_2016_12_01_13_34_06_043.jpg, IMG/right_2016_12_01_13_34_06_043.jpg,0.1765823,0.9855326,0,30.18261
IMG/center_2016_12_01_13_34_06_150.jpg, IMG/left_2016_12_01_13_34_06_150.jpg, IMG/right_2016_12_01_13_34_06_150.jpg,0.1765823,0.9855326,0,30.18343
IMG/center_2016_12_01_13_34_06_252.jpg, IMG/left_2016_12_01_13_34_06_252.jpg, IMG/right_2016_12_01_13_34_06_252.jpg,0.1765823,0.9855326,0,30.18996
IMG/center_2016_12_01_13_34_37_147.jpg, IMG/left_2016_12_01_13_34_37_147.jpg, IMG/right_2016_12_01_13_34_37_147.jpg,0.1,0.9855326,0,30.18604
IMG/center_2016_12_01_13_34_37_247.jpg, IMG/left_2016_12_01_13_34_37_247.jpg, IMG/right_2016_12_01_13_34_37_247.jpg,0.25,0.9855326,0,30.16579
IMG/center_2016_12_01_13_34_37_348.jpg, IMG/left_2016_12_01_13_34_37_348.jpg, IMG/right_2016_12_01_13_34_37_348.jpg,0.25,0.9855326,0,30.14765
IMG/center_2016_12_01_13_34_37_449.jpg, IMG/left_2016_12_01_13_34_37_449.jpg, IMG/right_2016_12_01_13_34_37_449.jpg,0.25,0.9855326,0,30.16637
IMG/center_2016_12_01_13_34_37_550.jpg, IMG/left_2016_12_01_13_34_37_550.jpg, IMG/right_2016_12_01_13_34_37_550.jpg,0,0.9855326,0,30.18961
IMG/center_2016_12_01_13_34_37_652.jpg, IMG/left_2016_12_01_13_34_37_652.jpg, IMG/right_2016_12_01_13_34_37_652.jpg,0,0.9855326,0,30.19293
IMG/center_2016_12_01_13_34_37_755.jpg, IMG/left_2016_12_01_13_34_37_755.jpg, IMG/right_2016_12_01_13_34_37_755.jpg,-0.06925154,0.9855326,0,30.18384
IMG/center_2016_12_01_13_34_37_857.jpg, IMG/left_2016_12_01_13_34_37_857.jpg, IMG/right_2016_12_01_13_34_37_857.jpg,-0.3066105,0.9855326,0,30.15037
IMG/center_2016_12_01_13_34_37_957.jpg, IMG/left_2016_12_01_13_34_37_957.jpg, IMG/right_2016_12_01_13_34_37_957.jpg,-0.6294187,0.9855326,0,30.11405
IMG/center_2016_12_01_13_34_38_057.jpg, IMG/left_2016_12_01_13_34_38_057.jpg, IMG/right_2016_12_01_13_34_38_057.jpg,-0.6863848,0.9279258,0,30.11718
IMG/center_2016_12_01_13_34_38_159.jpg, IMG/left_2016_12_01_13_34_38_159.jpg, IMG/right_2016_12_01_13_34_38_159.jpg,-0.6863848,0.9279258,0,30.14099
IMG/center_2016_12_01_13_34_38_259.jpg, IMG/left_2016_12_01_13_34_38_259.jpg, IMG/right_2016_12_01_13_34_38_259.jpg,0,0.9855326,0,30.16609
IMG/center_2016_12_01_13_34_38_360.jpg, IMG/left_2016_12_01_13_34_38_360.jpg, IMG/right_2016_12_01_13_34_38_360.jpg,0.25,0.9855326,0,30.1233
IMG/center_2016_12_01_13_34_38_460.jpg, IMG/left_2016_12_01_13_34_38_460.jpg, IMG/right_2016_12_01_13_34_38_460.jpg,0.25,0.9855326,0,30.10665
IMG/center_2016_12_01_13_34_38_562.jpg, IMG/left_2016_12_01_13_34_38_562.jpg, IMG/right_2016_12_01_13_34_38_562.jpg,0.25,0.9855326,0,30.12363
IMG/center_2016_12_01_13_34_38_663.jpg, IMG/left_2016_12_01_13_34_38_663.jpg, IMG/right_2016_12_01_13_34_38_663.jpg,0.0904655,0.9855326,0,30.18591
IMG/center_2016_12_01_13_34_38_765.jpg, IMG/left_2016_12_01_13_34_38_765.jpg, IMG/right_2016_12_01_13_34_38_765.jpg,0,0.9855326,0,30.18404
IMG/center_2016_12_01_13_34_38_867.jpg, IMG/left_2016_12_01_13_34_38_867.jpg, IMG/right_2016_12_01_13_34_38_867.jpg,-0.06925154,0.9855326,0,30.18237
IMG/center_2016_12_01_13_34_38_967.jpg, IMG/left_2016_12_01_13_34_38_967.jpg, IMG/right_2016_12_01_13_34_38_967.jpg,-0.2781274,0.9855326,0,30.16689
IMG/center_2016_12_01_13_34_39_068.jpg, IMG/left_2016_12_01_13_34_39_068.jpg, IMG/right_2016_12_01_13_34_39_068.jpg,-0.3066105,0.9855326,0,30.17622
IMG/center_2016_12_01_13_34_39_169.jpg, IMG/left_2016_12_01_13_34_39_169.jpg, IMG/right_2016_12_01_13_34_39_169.jpg,-0.2116669,0.9855326,0,30.18647
IMG/center_2016_12_01_13_34_39_270.jpg, IMG/left_2016_12_01_13_34_39_270.jpg, IMG/right_2016_12_01_13_34_39_270.jpg,0,0.9855326,0,30.18483
IMG/center_2016_12_01_13_34_39_371.jpg, IMG/left_2016_12_01_13_34_39_371.jpg, IMG/right_2016_12_01_13_34_39_371.jpg,0.3488158,0.9855326,0,30.14419
IMG/center_2016_12_01_13_34_39_471.jpg, IMG/left_2016_12_01_13_34_39_471.jpg, IMG/right_2016_12_01_13_34_39_471.jpg,0.3583844,0.9855326,0,30.16694
IMG/center_2016_12_01_13_34_39_571.jpg, IMG/left_2016_12_01_13_34_39_571.jpg, IMG/right_2016_12_01_13_34_39_571.jpg,0.25,0.9855326,0,30.15504
IMG/center_2016_12_01_13_34_39_672.jpg, IMG/left_2016_12_01_13_34_39_672.jpg, IMG/right_2016_12_01_13_34_39_672.jpg,0.0617599,0.9855326,0,30.18432
IMG/center_2016_12_01_13_34_39_773.jpg, IMG/left_2016_12_01_13_34_39_773.jpg, IMG/right_2016_12_01_13_34_39_773.jpg,-0.08824026,0.9855326,0,30.17822
IMG/center_2016_12_01_13_34_39_874.jpg, IMG/left_2016_12_01_13_34_39_874.jpg, IMG/right_2016_12_01_13_34_39_874.jpg,-0.2211613,0.9855326,0,30.17088
IMG/center_2016_12_01_13_34_39_974.jpg, IMG/left_2016_12_01_13_34_39_974.jpg, IMG/right_2016_12_01_13_34_39_974.jpg,-0.2971161,0.9855326,0,30.17273
IMG/center_2016_12_01_13_33_38_830.jpg, IMG/left_2016_12_01_13_33_38_830.jpg, IMG/right_2016_12_01_13_33_38_830.jpg,0,0.9855326,0,30.18664
IMG/center_2016_12_01_13_33_38_933.jpg, IMG/left_2016_12_01_13_33_38_933.jpg, IMG/right_2016_12_01_13_33_38_933.jpg,0.02348577,0.9855326,0,30.18651
IMG/center_2016_12_01_13_33_39_035.jpg, IMG/left_2016_12_01_13_33_39_035.jpg, IMG/right_2016_12_01_13_33_39_035.jpg,0.02348577,0.9855326,0,30.18658
IMG/center_2016_12_01_13_33_39_137.jpg, IMG/left_2016_12_01_13_33_39_137.jpg, IMG/right_2016_12_01_13_33_39_137.jpg,0.02348577,0.9855326,0,30.18658
IMG/center_2016_12_01_13_33_39_239.jpg, IMG/left_2016_12_01_13_33_39_239.jpg, IMG/right_2016_12_01_13_33_39_239.jpg,0.1478767,0.9855326,0,30.18157
IMG/center_2016_12_01_13_33_39_340.jpg, IMG/left_2016_12_01_13_33_39_340.jpg, IMG/right_2016_12_01_13_33_39_340.jpg,0.1670138,0.9855326,0,30.18297
IMG/center_2016_12_01_13_33_39_442.jpg, IMG/left_2016_12_01_13_33_39_442.jpg, IMG/right_2016_12_01_13_33_39_442.jpg,0.1670138,0.9855326,0,30.1846
IMG/center_2016_12_01_13_33_39_543.jpg, IMG/left_2016_12_01_13_33_39_543.jpg, IMG/right_2016_12_01_13_33_39_543.jpg,0.1670138,0.9855326,0,30.18541
IMG/center_2016_12_01_13_33_39_643.jpg, IMG/left_2016_12_01_13_33_39_643.jpg, IMG/right_2016_12_01_13_33_39_643.jpg,0.1574452,0.9855326,0,30.18572
IMG/center_2016_12_01_13_33_38_933.jpg, IMG/left_2016_12_01_13_33_38_933.jpg, IMG/right_2016_12_01_13_33_38_933.jpg,0.222374577,0.9855326,0,30.18413964
IMG/center_2016_12_01_13_33_39_035.jpg, IMG/left_2016_12_01_13_33_39_035.jpg, IMG/right_2016_12_01_13_33_39_035.jpg,0.247435022,0.9855326,0,30.18395012
IMG/center_2016_12_01_13_33_39_137.jpg, IMG/left_2016_12_01_13_33_39_137.jpg, IMG/right_2016_12_01_13_33_39_137.jpg,0.272495466,0.9855326,0,30.1837606
IMG/center_2016_12_01_13_33_39_239.jpg, IMG/left_2016_12_01_13_33_39_239.jpg, IMG/right_2016_12_01_13_33_39_239.jpg,0.297555911,0.9855326,0,30.18357107
IMG/center_2016_12_01_13_33_40_151.jpg, IMG/left_2016_12_01_13_33_40_151.jpg, IMG/right_2016_12_01_13_33_40_151.jpg,0.1765823,0.9855326,0,30.18004
IMG/center_2016_12_01_13_33_40_252.jpg, IMG/left_2016_12_01_13_33_40_252.jpg, IMG/right_2016_12_01_13_33_40_252.jpg,0.1765823,0.9855326,0,30.18354
IMG/center_2016_12_01_13_33_40_353.jpg, IMG/left_2016_12_01_13_33_40_353.jpg, IMG/right_2016_12_01_13_33_40_353.jpg,0.1765823,0.9855326,0,30.18486
IMG/center_2016_12_01_13_33_40_455.jpg, IMG/left_2016_12_01_13_33_40_455.jpg, IMG/right_2016_12_01_13_33_40_455.jpg,0.1765823,0.9855326,0,30.18545
IMG/center_2016_12_01_13_33_40_557.jpg, IMG/left_2016_12_01_13_33_40_557.jpg, IMG/right_2016_12_01_13_33_40_557.jpg,0.1765823,0.9855326,0,30.18572
IMG/center_2016_12_01_13_33_40_658.jpg, IMG/left_2016_12_01_13_33_40_658.jpg, IMG/right_2016_12_01_13_33_40_658.jpg,0.1765823,0.9855326,0,30.18581
IMG/center_2016_12_01_13_33_40_760.jpg, IMG/left_2016_12_01_13_33_40_760.jpg, IMG/right_2016_12_01_13_33_40_760.jpg,0.1765823,0.9855326,0,30.18591
IMG/center_2016_12_01_13_34_37_046.jpg, IMG/left_2016_12_01_13_34_37_046.jpg, IMG/right_2016_12_01_13_34_37_046.jpg,0,0.9855326,0,30.18672
IMG/center_2016_12_01_13_34_40_076.jpg, IMG/left_2016_12_01_13_34_40_076.jpg, IMG/right_2016_12_01_13_34_40_076.jpg,0,0.9855326,0,30.18321
IMG/center_2016_12_01_13_34_40_176.jpg, IMG/left_2016_12_01_13_34_40_176.jpg, IMG/right_2016_12_01_13_34_40_176.jpg,0,0.9855326,0,30.18577
IMG/center_2016_12_01_13_35_02_765.jpg, IMG/left_2016_12_01_13_35_02_765.jpg, IMG/right_2016_12_01_13_35_02_765.jpg,0,0.9855326,0,30.1849
IMG/center_2016_12_01_13_35_02_866.jpg, IMG/left_2016_12_01_13_35_02_866.jpg, IMG/right_2016_12_01_13_35_02_866.jpg,0.0904655,0.9855326,0,30.18456
IMG/center_2016_12_01_13_35_02_969.jpg, IMG/left_2016_12_01_13_35_02_969.jpg, IMG/right_2016_12_01_13_35_02_969.jpg,0.0904655,0.9855326,0,30.18583
IMG/center_2016_12_01_13_35_03_069.jpg, IMG/left_2016_12_01_13_35_03_069.jpg, IMG/right_2016_12_01_13_35_03_069.jpg,0.0904655,0.9855326,0,30.18614
IMG/center_2016_12_01_13_35_03_170.jpg, IMG/left_2016_12_01_13_35_03_170.jpg, IMG/right_2016_12_01_13_35_03_170.jpg,0.100034,0.9855326,0,30.18609
IMG/center_2016_12_01_13_35_03_271.jpg, IMG/left_2016_12_01_13_35_03_271.jpg, IMG/right_2016_12_01_13_35_03_271.jpg,0.1191711,0.9855326,0,30.18584
IMG/center_2016_12_01_13_35_03_372.jpg, IMG/left_2016_12_01_13_35_03_372.jpg, IMG/right_2016_12_01_13_35_03_372.jpg,0.1096026,0.9855326,0,30.18629
